ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"0.1uF"	"C1,C4"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"2"	"KM104M050D11RR0VH2FP0"	"CX(承兴)"	"LCSC"	"C28061"	"0.014"
"2"	"0.33uF"	"C3"	"CAP-TH_BD5.0-P2.00-D0.8-FD"	"1"	"KM334M050D11RR0VH2FP0"	"CX(承兴)"	"LCSC"	"C45097"	"0.014"
"3"	"LED"	"D1,D3"	"LED-TH_BD5.0-P2.54-FD"	"2"	"5mm_LED"	"null"	"LCSC"	"C9900148483"	""
"4"	"1N4001"	"D5"	"DO-41_BD2.4-L4.7-P8.70-D0.9-RD"	"1"	"1N4001"	"SEMIWARE(赛米微尔)"	"LCSC"	"C696651"	"0.02"
"5"	"Power"	"J1"	"CONN-TH_XHB-2A"	"1"	"XHB-2A（红）"	"BOOMELE(博穆精密)"	"LCSC"	"C61274"	"0.013"
"6"	"OLED"	"J2"	"HEADER - HEADER-FEMALE-2.54_1X4"	"1"	""	""	"Sparkfun"	""	""
"7"	"DHT11"	"J3"	"HEADER - HEADER-FEMALE-2.54_1X4"	"1"	""	""	"Sparkfun"	""	""
"8"	"BUZZER"	"LS1"	"DIP-BUZZER-12X6"	"1"	"BUZZERHMB1206-03"	"HNDZ"	"LCSC"	"C96101"	"0.26"
"9"	"BC547"	"Q1"	"TO-92-3_L4.9-W3.7-P2.54-L"	"1"	"BC547BTF"	"onsemi(安森美)"	"LCSC"	"C900798"	"0.085"
"10"	"68Ω"	"R1,R3"	"RES-TH_BD2.2-L6.0-P10.00-D0.5"	"2"	"AXIAL-0.4"	"null"	"LCSC"	"C9900020985"	""
"11"	"10K"	"R2"	"RES-TH_BD2.2-L6.0-P10.00-D0.5"	"1"	"AXIAL-0.4"	"null"	"LCSC"	"C9900020985"	""
"12"	"4.7K"	"R4,R6,R7,R8,R9"	"RES-TH_BD2.2-L6.0-P10.00-D0.5"	"5"	"AXIAL-0.4"	"null"	"LCSC"	"C9900020985"	""
"13"	"220Ω"	"R5"	"RES-TH_BD2.2-L6.0-P10.00-D0.5"	"1"	"AXIAL-0.4"	"null"	"LCSC"	"C9900020985"	""
"14"	"Reset"	"S1"	"KEY-TH_4P-L6.0-W6.0-P4.50"	"1"	"button6*6*8.5"	"ReliaPro"	"LCSC"	"C59980"	""
"15"	"BTN1"	"S2"	"KEY-TH_4P-L6.0-W6.0-P4.50"	"1"	"button6*6*8.5"	"ReliaPro"	"LCSC"	"C59980"	""
"16"	"BTN2"	"S3"	"KEY-TH_4P-L6.0-W6.0-P4.50"	"1"	"button6*6*8.5"	"ReliaPro"	"LCSC"	"C59980"	""
"17"	"BTN3"	"S4"	"KEY-TH_4P-L6.0-W6.0-P4.50"	"1"	"button6*6*8.5"	"ReliaPro"	"LCSC"	"C59980"	""
"18"	"BTN4"	"S5"	"KEY-TH_4P-L6.0-W6.0-P4.50"	"1"	"button6*6*8.5"	"ReliaPro"	"LCSC"	"C59980"	""
"19"	"ESP32"	"U1"	"DOIT-ESP32-DEVKIT-V1"	"1"	""	""	""	""	""
"20"	"LM1117T"	"U2"	"TO-220-3_L10.0-W4.5-P2.54-L"	"1"	"LD1117V33"	"STMicroelectronics"	"LCSC"	"C283467"	"0.308"
